condition,score,rank,method,weight
Transparent|Yes|Yes,0.9198070266501793,1,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Transparent_Flashing|Yes|Yes,0.8889491997728846,2,PCA,"0.157473557269868,0.153474919886593,0.155656892654745,0.157245909645042,0.158412718564462,0.108393660734205,0.109342341245085"
Baseline|No|No,0.5600561702691345,12,ObjectiveOnly,NA
Flashing|No|No,0.5517173580293113,13,ObjectiveOnly,NA
Transparent|No|No,0.22860959273813464,15,ObjectiveOnly,NA
Transparent_Flashing|No|No,0.1435851727458629,16,ObjectiveOnly,NA
Baseline|Yes|No,0.86680294956991355,6,ObjectiveOnly,NA
Flashing|Yes|No,0.9004233404349238,5,ObjectiveOnly,NA
Transparent|Yes|No,0.759878606246257,9,ObjectiveOnly,NA
Transparent_Flashing|Yes|No,0.8527867235283559,7,ObjectiveOnly,NA
Baseline|No|Yes,0.803562123645774,8,ObjectiveOnly,NA
Flashing|No|Yes,0.702897966878222,10,ObjectiveOnly,NA
Transparent|No|Yes,0.6426085690328845,11,ObjectiveOnly,NA
Transparent_Flashing|No|Yes,0.2480438121179693,14,ObjectiveOnly,NA
Baseline|Yes|Yes,0.9348029945014321,1,ObjectiveOnly,NA
Flashing|Yes|Yes,0.9171250272880003,3,ObjectiveOnly,NA
Transparent|Yes|Yes,0.9107497069589459,4,ObjectiveOnly,NA
Transparent_Flashing|Yes|Yes,0.92656827687627,2,ObjectiveOnly,NA
